name,roll_no,branch,year
Student CSE 1 1,CSE10001,CSE,1
Student CSE 1 2,CSE10002,CSE,1
Student CSE 1 3,CSE10003,CSE,1
Student CSE 1 4,CSE10004,CSE,1
Student CSE 1 5,CSE10005,CSE,1
Student CSE 1 6,CSE10006,CSE,1
Student CSE 1 7,CSE10007,CSE,1
Student CSE 1 8,CSE10008,CSE,1
Student CSE 1 9,CSE10009,CSE,1
Student CSE 1 10,CSE10010,CSE,1
Student CSE 1 11,CSE10011,CSE,1
Student CSE 1 12,CSE10012,CSE,1
Student CSE 1 13,CSE10013,CSE,1
Student CSE 1 14,CSE10014,CSE,1
Student CSE 1 15,CSE10015,CSE,1
Student ECE 1 1,ECE10016,ECE,1
Student ECE 1 2,ECE10017,ECE,1
Student ECE 1 3,ECE10018,ECE,1
Student ECE 1 4,ECE10019,ECE,1
Student ECE 1 5,ECE10020,ECE,1
Student ECE 1 6,ECE10021,ECE,1
Student ECE 1 7,ECE10022,ECE,1
Student ECE 1 8,ECE10023,ECE,1
Student ECE 1 9,ECE10024,ECE,1
Student ECE 1 10,ECE10025,ECE,1
Student ECE 1 11,ECE10026,ECE,1
Student ECE 1 12,ECE10027,ECE,1
Student ECE 1 13,ECE10028,ECE,1
Student ECE 1 14,ECE10029,ECE,1
Student ECE 1 15,ECE10030,ECE,1
Student CSM 1 1,CSM10031,CSM,1
Student CSM 1 2,CSM10032,CSM,1
Student CSM 1 3,CSM10033,CSM,1
Student CSM 1 4,CSM10034,CSM,1
Student CSM 1 5,CSM10035,CSM,1
Student CSM 1 6,CSM10036,CSM,1
Student CSM 1 7,CSM10037,CSM,1
Student CSM 1 8,CSM10038,CSM,1
Student CSM 1 9,CSM10039,CSM,1
Student CSM 1 10,CSM10040,CSM,1
Student CSM 1 11,CSM10041,CSM,1
Student CSM 1 12,CSM10042,CSM,1
Student CSM 1 13,CSM10043,CSM,1
Student CSM 1 14,CSM10044,CSM,1
Student CSM 1 15,CSM10045,CSM,1
Student EEE 1 1,EEE10046,EEE,1
Student EEE 1 2,EEE10047,EEE,1
Student EEE 1 3,EEE10048,EEE,1
Student EEE 1 4,EEE10049,EEE,1
Student EEE 1 5,EEE10050,EEE,1
Student EEE 1 6,EEE10051,EEE,1
Student EEE 1 7,EEE10052,EEE,1
Student EEE 1 8,EEE10053,EEE,1
Student EEE 1 9,EEE10054,EEE,1
Student EEE 1 10,EEE10055,EEE,1
Student EEE 1 11,EEE10056,EEE,1
Student EEE 1 12,EEE10057,EEE,1
Student EEE 1 13,EEE10058,EEE,1
Student EEE 1 14,EEE10059,EEE,1
Student EEE 1 15,EEE10060,EEE,1
Student CIV 1 1,CIV10061,CIV,1
Student CIV 1 2,CIV10062,CIV,1
Student CIV 1 3,CIV10063,CIV,1
Student CIV 1 4,CIV10064,CIV,1
Student CIV 1 5,CIV10065,CIV,1
Student CIV 1 6,CIV10066,CIV,1
Student CIV 1 7,CIV10067,CIV,1
Student CIV 1 8,CIV10068,CIV,1
Student CIV 1 9,CIV10069,CIV,1
Student CIV 1 10,CIV10070,CIV,1
Student CIV 1 11,CIV10071,CIV,1
Student CIV 1 12,CIV10072,CIV,1
Student CIV 1 13,CIV10073,CIV,1
Student CIV 1 14,CIV10074,CIV,1
Student CIV 1 15,CIV10075,CIV,1
Student MECH 1 1,MECH10076,MECH,1
Student MECH 1 2,MECH10077,MECH,1
Student MECH 1 3,MECH10078,MECH,1
Student MECH 1 4,MECH10079,MECH,1
Student MECH 1 5,MECH10080,MECH,1
Student MECH 1 6,MECH10081,MECH,1
Student MECH 1 7,MECH10082,MECH,1
Student MECH 1 8,MECH10083,MECH,1
Student MECH 1 9,MECH10084,MECH,1
Student MECH 1 10,MECH10085,MECH,1
Student MECH 1 11,MECH10086,MECH,1
Student MECH 1 12,MECH10087,MECH,1
Student MECH 1 13,MECH10088,MECH,1
Student MECH 1 14,MECH10089,MECH,1
Student MECH 1 15,MECH10090,MECH,1
Student CSD 1 1,CSD10091,CSD,1
Student CSD 1 2,CSD10092,CSD,1
Student CSD 1 3,CSD10093,CSD,1
Student CSD 1 4,CSD10094,CSD,1
