name,roll_no,branch,year
Tara Devaraj,CSE1001,CSE,1
Charan Yadav,CSE1002,CSE,1
Nisha Ojha,CSE1003,CSE,1
Zeenat Lohia,CSE1004,CSE,1
Chaitra Uttam,CSE1005,CSE,1
Gautam Mehta,CSE1006,CSE,1
Pranav Sharma,CSE1007,CSE,1
Samar Wagh,CSE1008,CSE,1
Tejas Gandhi,CSE1009,CSE,1
Divya Naidu,CSE1010,CSE,1
Ishita Naidu,CSE1011,CSE,1
Ritul Fernandes,CSE1012,CSE,1
Gautam Srivastava,CSE1013,CSE,1
Shreya Chopra,CSE1014,CSE,1
Zeenat Rao,CSE1015,CSE,1
Gautam Khan,CSE1016,CSE,1
Qadir Chakraborty,CSE1017,CSE,1
Saanvi Kapoor,CSE1018,CSE,1
Kavya Jain,CSE1019,CSE,1
Darsh Kapoor,CSE1020,CSE,1
Krishna Venkatesh,CSE1021,CSE,1
Darsh Sen,CSE1022,CSE,1
Shreya Shah,CSE1023,CSE,1
Sanya Fernandes,CSE1024,CSE,1
Charan Bhatt,CSE1025,CSE,1
Om Gupta,CSE1026,CSE,1
Amaya Qureshi,CSE1027,CSE,1
Heena Saxena,CSE1028,CSE,1
Sneha Zhao,CSE1029,CSE,1
Pari Acharya,CSE1030,CSE,1
Anika Sharma,CSE1031,CSE,1
Uday Kapoor,CSE1032,CSE,1
Dev Pandey,CSE1033,CSE,1
Esha Bhatt,CSE1034,CSE,1
Farhan Naidu,CSE1035,CSE,1
Divya Zhao,CSE1036,CSE,1
Jai Hiremath,CSE1037,CSE,1
Charan Wagh,CSE1038,CSE,1
Yamini Hegde,CSE1039,CSE,1
Om Khan,CSE1040,CSE,1
Manav Kapoor,CSE1041,CSE,1
Pavan Mehta,CSE1042,CSE,1
Wasim Uttam,CSE1043,CSE,1
Chaitra Venkatesh,CSE1044,CSE,1
Sneha Nambiar,CSE1045,CSE,1
Yamini Joshi,CSE1046,CSE,1
Tara Eapen,CSE1047,CSE,1
Divya Iyer,CSE1048,CSE,1
Wasim Dixit,CSE1049,CSE,1
Arjun Rastogi,CSE1050,CSE,1
Saanvi Iyengar,CSE1051,CSE,1
Sneha Mishra,CSE1052,CSE,1
Darsh Pandey,CSE1053,CSE,1
Zubin Kashyap,CSE1054,CSE,1
Shaurya Qureshi,CSE1055,CSE,1
Jai Venkatesh,CSE1056,CSE,1
Isha Zhao,CSE1057,CSE,1
Kunal Srivastava,CSE1058,CSE,1
Farhan Qadir,CSE1059,CSE,1
Aarav Mahajan,CSE1060,CSE,1
Krishna Rastogi,CSE1061,CSE,1
Gauri Qureshi,CSE1062,CSE,1
Deepak Pandey,CSE1063,CSE,1
Sneha Qadir,CSE1064,CSE,1
Ishan Chakraborty,CSE1065,CSE,1
Nikhil Dixit,CSE1066,CSE,1
Wasim Xavier,CSE1067,CSE,1
Yamini Zaveri,CSE1068,CSE,1
Divya Pandey,CSE1069,CSE,1
Tanvi Menon,CSE1070,CSE,1
Mohan Pillai,CSE1071,CSE,1
Gauri Verma,CSE1072,CSE,1
Chaitra Reddy,CSE1073,CSE,1
Rudra Chakraborty,CSE1074,CSE,1
Meera Lal,CSE1075,CSE,1
Naveen Mehta,CSE1076,CSE,1
Ishaan Gandhi,CSE1077,CSE,1
Samira Rastogi,CSE1078,CSE,1
Mira Dixit,CSE1079,CSE,1
Rudra Mehta,CSE1080,CSE,1
Jaya Mahajan,CSE1081,CSE,1
Tara Nair,CSE1082,CSE,1
Dhruv Dixit,CSE1083,CSE,1
Yamini Agarwal,CSE1084,CSE,1
Krishna Malhotra,CSE1085,CSE,1
Vikram Mishra,CSE1086,CSE,1
Tara Menon,CSE1087,CSE,1
Advait Sharma,CSE1088,CSE,1
Sahil Gupta,CSE1089,CSE,1
Yash Sharma,CSE1090,CSE,1
Prithvi Khan,CSE1091,CSE,1
Deepak Chakraborty,CSE1092,CSE,1
Farah Reddy,CSE1093,CSE,1
Qadir Patel,CSE1094,CSE,1
Vihaan Menon,CSE1095,CSE,1
Ishita Nambiar,CSE1096,CSE,1
Zara Uttam,CSE1097,CSE,1
Rahul Nair,CSE1098,CSE,1
Rakesh Chakraborty,CSE1099,CSE,1
Divya Hegde,CSE1100,CSE,1
Sahil Zaveri,ECE1001,ECE,1
Krishna Gupta,ECE1002,ECE,1
Krishna Lohia,ECE1003,ECE,1
Aisha Sridhar,ECE1004,ECE,1
Pavan Srivastava,ECE1005,ECE,1
Manav Nambiar,ECE1006,ECE,1
Krishna Basu,ECE1007,ECE,1
Anika Wagh,ECE1008,ECE,1
Bhavya Naidu,ECE1009,ECE,1
Usha Uttam,ECE1010,ECE,1
Tushar Mahajan,ECE1011,ECE,1
Zubin Lohia,ECE1012,ECE,1
Arnav Kulkarni,ECE1013,ECE,1
Isha Varghese,ECE1014,ECE,1
Yug Pillai,ECE1015,ECE,1
Manav Sharma,ECE1016,ECE,1
Jai Kashyap,ECE1017,ECE,1
Isha Hegde,ECE1018,ECE,1
Vihaan Naidu,ECE1019,ECE,1
Janaki Jain,ECE1020,ECE,1
Bhavin Reddy,ECE1021,ECE,1
Isha Upadhyay,ECE1022,ECE,1
Amaya Yadav,ECE1023,ECE,1
Shaurya Mehta,ECE1024,ECE,1
Lakshya Hiremath,ECE1025,ECE,1
Aditi Kulkarni,ECE1026,ECE,1
Aruna Wagh,ECE1027,ECE,1
Veda Saxena,ECE1028,ECE,1
Yash Wagh,ECE1029,ECE,1
Amaya Menon,ECE1030,ECE,1
Dhruv Khan,ECE1031,ECE,1
Tanvi Pillai,ECE1032,ECE,1
Arnav Menon,ECE1033,ECE,1
Vineet Agarwal,ECE1034,ECE,1
Zeenat Menon,ECE1035,ECE,1
Irfan Hiremath,ECE1036,ECE,1
Rahul Chopra,ECE1037,ECE,1
Meera Acharya,ECE1038,ECE,1
Sanya Naidu,ECE1039,ECE,1
Rohan Acharya,ECE1040,ECE,1
Tara Malhotra,ECE1041,ECE,1
Ishaan Zaveri,ECE1042,ECE,1
Farhan Qureshi,ECE1043,ECE,1
Rakesh Lohia,ECE1044,ECE,1
Aruna Nair,ECE1045,ECE,1
